Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
75,70,Suicide Squad,43,$3.99,06/13/18,DC,"27,089"
76,72,Star Wars Lando Double or Nothing,2,$3.99,06/27/18,Marvel,"26,957"
77,104,Terrifics,5,$2.99,06/27/18,DC,"26,676"
78,73,Batgirl,24,$3.99,06/27/18,DC,"26,457"
79,75,Nightwing,45,$3.99,06/06/18,DC,"26,242"
80,54,Wakanda Forever Amazing Spider-Man,1,$4.99,06/27/18,Marvel,"26,162"
81,77,Peter Parker Spectacular Spider-Man,305,$3.99,06/13/18,Marvel,"26,036"
82,109,Immortal Men,3,$2.99,06/13/18,DC,"25,770"
83,81,Old Man Hawkeye,6,$3.99,06/27/18,Marvel,"25,515"
84,82,Peter Parker Spectacular Spider-Man,306,$3.99,06/27/18,Marvel,"25,501"
85,84,Domino,3,$3.99,06/13/18,Marvel,"25,228"
86,83,Brave & The Bold Batman & Wonder Woman,5,$3.99,06/20/18,DC,"25,123"
87,85,Daredevil,604,$3.99,06/20/18,Marvel,"24,689"
88,115,Green Lanterns,49,$2.99,06/20/18,DC,"24,157"
89,86,Aquaman,37,$3.99,06/20/18,DC,"24,076"
90,116,Green Lanterns,48,$2.99,06/06/18,DC,"23,994"
91,87,Star Wars Poe Dameron,28,$3.99,06/20/18,Marvel,"23,102"
92,88,Infinity Countdown Champions,1,$3.99,06/20/18,Marvel,"23,031"
93,21,Amazing Spider-Man,800,$9.99,05/30/18,Marvel,"22,890"
94,93,Multiple Man,1,$3.99,06/27/18,Marvel,"22,307"
95,127,New Challengers,2,$2.99,06/20/18,DC,"22,094"
96,92,Spider-Man Deadpool,34,$3.99,06/13/18,Marvel,"22,085"
97,94,Punisher,226,$3.99,06/13/18,Marvel,"22,056"
98,95,Weapon X,19,$3.99,06/06/18,Marvel,"22,049"
99,91,Paper Girls,21,$3.99,06/06/18,Image,"21,981"
100,96,Dazzler X Song,1,$3.99,06/06/18,Marvel,"21,822"
101,97,Weapon H,4,$3.99,06/20/18,Marvel,"21,623"
102,74,Marvel Rising Alpha,1,$4.99,06/13/18,Marvel,"21,290"
103,79,Ms. Marvel,31,$4.99,06/27/18,Marvel,"20,327"
104,102,Green Arrow,41,$3.99,06/06/18,DC,"20,309"
105,103,Gideon Falls,4,$3.99,06/20/18,Image,"20,110"
106,105,Infinity Countdown Darkhawk,2,$3.99,06/13/18,Marvel,"20,019"
107,110,Star Wars Last Jedi Adaptation,3,$3.99,06/06/18,Marvel,"19,337"
108,107,Death or Glory,2,$3.99,06/06/18,Image,"19,254"
109,112,Weeknd Presents Starboy,1,$3.99,06/13/18,Marvel,"19,252"
110,99,Rick & Morty,39,$3.99,06/27/18,Oni,"19,143"
111,111,Red Hood and the Outlaws,23,$3.99,06/13/18,DC,"19,034"
112,98,Kick-Ass,5,$3.99,06/13/18,Image,"18,939"
113,113,Moon Knight,196,$3.99,06/27/18,Marvel,"18,597"
114,114,Rise of Black Panther,6,$3.99,06/06/18,Marvel,"18,487"
115,80,Rick & Morty Presents Krombopulous Michael,1,$4.99,06/20/18,Oni,"18,433"
116,151,Mighty Morphin Power Rangers,28,$3.99,06/20/18,Boom,"18,300"
117,117,Exiles,4,$3.99,06/13/18,Marvel,"18,112"
118,142,Medieval Spawn Witchblade,2,$2.99,06/06/18,Image,"17,722"
119,119,Ant-Man and the Wasp,2,$3.99,06/20/18,Marvel,"17,594"
120,106,Hit-Girl,5,$3.99,06/20/18,Image,"17,439"
121,122,Champions,21,$3.99,06/20/18,Marvel,"17,401"
122,146,Damage,6,$2.99,06/20/18,DC,"17,308"
123,123,Cable,158,$3.99,06/20/18,Marvel,"17,278"
124,124,Spider-Gwen,33,$3.99,06/20/18,Marvel,"17,205"
125,121,Kill or Be Killed,20,$3.99,06/27/18,Image,"17,141"
126,125,Amazing Spider-Man Renew Your Vows,20,$3.99,06/20/18,Marvel,"17,131"
127,126,New Mutants Dead Souls,4,$3.99,06/13/18,Marvel,"17,067"
128,149,Sideways,5,$2.99,06/13/18,DC,"16,543"
129,129,Infinity Countdown Darkhawk,3,$3.99,06/27/18,Marvel,"16,506"
130,128,Weatherman,1,$3.99,06/13/18,Image,"16,204"
131,439,Secret Empire,3,$3.99,05/31/17,Marvel,"16,140"
132,130,Mera Queen of Atlantis,5,$3.99,06/27/18,DC,"16,112"
133,131,Batman Beyond,21,$3.99,06/27/18,DC,"16,049"
134,155,Curse of Brimstone,3,$2.99,06/06/18,DC,"15,949"
135,132,Batwoman,16,$3.99,06/20/18,DC,"15,449"
136,133,Isola,3,$3.99,06/06/18,Image,"15,315"
137,134,I Hate Fairyland,19,$3.99,06/13/18,Image,"15,124"
138,450,Secret Empire,1,$4.99,05/03/17,Marvel,"14,935"
139,452,Civil War II,5,$4.99,09/21/16,Marvel,"14,766"
140,174,Go Go Power Rangers,10,$3.99,06/06/18,Boom,"14,422"
141,136,Ben Reilly Scarlet Spider,19,$3.99,06/06/18,Marvel,"14,374"
142,137,Ant-Man and Wasp Living Legends,1,$3.99,06/06/18,Marvel,"14,299"
143,139,Wild Storm,14,$3.99,06/20/18,DC,"14,107"
144,140,Ben Reilly Scarlet Spider,20,$3.99,06/20/18,Marvel,"14,087"
145,314,True Believers Scott Lang Astonishing Ant-Man,1,$1.00,06/20/18,Marvel,"14,072"
146,166,Silencer,6,$2.99,06/27/18,DC,"13,868"
147,460,Civil War II,4,$4.99,07/27/16,Marvel,"13,776"
148,138,Neil Gaiman American Gods My Ainsel,4,$3.99,06/13/18,Dark Horse,"13,732"
149,320,True Believers Ant-Man & Wasp Birth Giant-Man,1,$1.00,06/06/18,Marvel,"13,698"
150,120,Xerxes Fall of House of Darius,3,$4.99,06/06/18,Dark Horse,"13,677"
151,170,Batman Sins of the Father,5,$2.99,06/20/18,DC,"13,551"
152,141,Monstress,17,$3.99,06/13/18,Image,"13,423"
153,143,Stellar,1,$3.99,06/13/18,Image,"13,320"
154,145,Scooby Apocalypse,26,$3.99,06/13/18,DC,"13,166"
155,323,True Believers Ant-Man & Wasp Trail of Spider-Man,1,$1.00,06/13/18,Marvel,"13,071"
156,135,Sonic The Hedgehog,6,$3.99,06/27/18,IDW,"13,048"
157,118,Mighty Morphin Power Rangers Anniversary Special,1,$7.99,06/27/18,Boom,"13,022"
158,147,Raven Daughter of Darkness,6,$3.99,06/27/18,DC,"12,611"
159,330,True Believers Ant-Man & Wasp Til Death Do Us Part,1,$1.00,06/13/18,Marvel,"12,228"
160,163,Buffy the Vampire Slayer Season 12 The Reckoning,1,$3.99,06/20/18,Dark Horse,"12,225"
161,150,Outcast By Kirkman & Azaceta,36,$3.99,06/27/18,Image,"12,215"
162,152,Hellblazer,23,$3.99,06/27/18,DC,"12,179"
163,36,Batman The Dark Prince Charming HC Book 2,,$12.99,06/20/18,DC,"12,137"
164,154,Quicksilver No Surrender,2,$3.99,06/13/18,Marvel,"12,119"
165,156,Runaways,10,$3.99,06/20/18,Marvel,"12,047"
166,153,Black Hammer Age of Doom,3,$3.99,06/20/18,Dark Horse,"11,928"
167,336,True Believers Ant-Man Incredible Shrinking Doom,1,$1.00,06/20/18,Marvel,"11,747"
168,158,Shield By Hickman and Weaver,6,$3.99,06/13/18,Marvel,"11,731"
169,159,Descender,31,$3.99,06/27/18,Image,"11,436"
170,148,Star Wars Adventures,11,$3.99,06/06/18,IDW,"11,376"
171,347,True Believers Ant-Man & Hawkeye Avengers Assemble,1,$1.00,06/27/18,Marvel,"11,184"
172,144,Iron Maiden Legacy of the Beast,5,$3.99,06/20/18,Heavy Metal,"11,046"
173,160,Shanghai Red,1,$3.99,06/20/18,Image,"10,948"
174,157,TMNT Ongoing,83,$3.99,06/06/18,IDW,"10,683"
175,162,Bane Conquest,12,$3.99,06/27/18,DC,"10,658"
176,168,Wicked & Divine,37,$3.99,06/27/18,Image,"10,269"
177,364,True Believers Ant-Man Presents Iron Man Ghost Machine,1,$1.00,06/27/18,Marvel,"10,238"
178,204,Injustice 2,27,$2.99,06/06/18,DC,"9,936"
179,161,Sword Daughter,1,$4.99,06/06/18,Dark Horse,"9,720"
180,211,Injustice 2,28,$2.99,06/20/18,DC,"9,698"
181,179,New Super Man & The Justice League of China,24,$3.99,06/13/18,DC,"9,485"
182,177,Doctor Star & Kingdom Lost Tomorrows,4,$3.99,06/06/18,Dark Horse,"9,435"
183,165,Charlies Angels,1,$3.99,06/27/18,Dynamite,"9,425"
184,169,Red Sonja,16,$3.99,06/06/18,Dynamite,"9,302"
185,180,Black Science,36,$3.99,06/06/18,Image,"9,240"
186,172,Vampirella Roses For Dead,1,$3.99,06/27/18,Dynamite,"9,207"
187,216,Bombshells United,19,$2.99,06/06/18,DC,"9,180"
188,186,Astro City,52,$3.99,06/27/18,DC,"8,986"
189,188,Unbeatable Squirrel Girl,33,$3.99,06/13/18,Marvel,"8,840"
190,176,X-O Manowar,16,$3.99,06/27/18,Valiant,"8,728"
191,164,Tank Girl All Stars,1,$3.99,06/20/18,Titan,"8,696"
192,189,Moon Girl and Devil Dinosaur,32,$3.99,06/27/18,Marvel,"8,648"
193,222,Teen Titans Go,28,$2.99,06/20/18,DC,"8,625"
194,178,Red Sonja Tarzan,2,$3.99,06/06/18,Dynamite,"8,603"
195,181,TMNT Urban Legends,2,$3.99,06/20/18,IDW,"8,387"
196,182,Red Sonja,17,$3.99,06/27/18,Dynamite,"8,359"
197,190,Future Quest Presents,11,$3.99,06/20/18,DC,"8,348"
198,167,Sex Criminals,25,$4.99,06/27/18,Image,"8,272"
199,192,Moonshine,11,$3.99,06/20/18,Image,"8,190"
200,194,Cyborg,23,$3.99,06/06/18,DC,"8,159"
201,193,Shadowman,4,$3.99,06/20/18,Valiant,"7,978"
202,206,Bloodshot Salvation,10,$3.99,06/13/18,Valiant,"7,950"
203,187,Invader Zim,31,$3.99,06/13/18,Oni,"7,945"
204,209,Harbinger Wars 2,2,$3.99,06/27/18,Valiant,"7,840"
205,191,Archie,31,$3.99,06/06/18,Archie,"7,521"
206,202,Deadly Class,35,$3.99,06/20/18,Image,"7,519"
207,184,Walk Through Hell,2,$3.99,06/13/18,Aftershock,"7,461"
208,203,Proxima Centauri,1,$3.99,06/13/18,Image,"7,458"
209,207,Bloodstrike,0,$3.99,06/13/18,Image,"7,381"
210,195,Nancy Drew,1,$3.99,06/13/18,Dynamite,"7,372"
211,210,Msh Adventures Webs Arrows Ants Oh My,1,$3.99,06/27/18,Marvel,"7,367"
212,213,Moon Girl and Devil Dinosaur,31,$3.99,06/06/18,Marvel,"7,354"
213,205,Realm,7,$3.99,06/27/18,Image,"7,353"
214,265,Coda,2,$3.99,06/13/18,Boom,"7,182"
215,173,TMNT Universe,23,$4.99,06/20/18,IDW,"7,152"
216,525,Secret Empire,2,$4.99,05/17/17,Marvel,"7,050"
217,253,Scooby Doo Team Up,39,$2.99,06/27/18,DC,"6,947"
218,215,Infidel,4,$3.99,06/20/18,Image,"6,886"
219,200,My Little Pony Ponyville Mysteries,2,$3.99,06/20/18,IDW,"6,882"
220,277,By Night,1,$3.99,06/13/18,Boom,"6,794"
221,183,Black Panther,1,$4.99,05/23/18,Marvel,"6,740"
222,208,Strangers In Paradise Xxv,4,$3.99,06/06/18,Abstract,"6,685"
223,197,Robotech,10,$3.99,06/27/18,Titan,"6,664"
224,212,Ninja-K,8,$3.99,06/20/18,Valiant,"6,613"
225,218,Skyward,3,$3.99,06/20/18,Image,"6,608"
226,196,Avengers,1,$4.99,05/02/18,Marvel,"6,565"
227,221,Analog,3,$3.99,06/13/18,Image,"6,492"
228,224,Wildstorm Michael Cray,8,$3.99,06/13/18,DC,"6,488"
229,226,Bloodstrike,23,$3.99,06/27/18,Image,"6,424"
230,223,Witchblade,6,$3.99,06/13/18,Image,"6,411"
231,227,Mage Hero Denied,9,$3.99,06/13/18,Image,"6,333"
232,185,Sex Criminals,25,$5.69,06/27/18,Image,"6,273"
233,229,Exit Stage Left The Snagglepuss Chronicles,6,$3.99,06/06/18,DC,"6,263"
234,217,Ducktales,9,$3.99,06/13/18,IDW,"6,226"
235,231,BPRD Devil You Know,7,$3.99,06/13/18,Dark Horse,"6,191"
236,546,Civil War II,3,$4.99,07/13/16,Marvel,"6,161"
237,234,Shade The Changing Woman,4,$3.99,06/06/18,DC,"6,145"
238,232,Koshchei The Deathless,6,$3.99,06/06/18,Dark Horse,"6,124"
239,199,Amazing Spider-Man,797,$3.99,06/13/18,Marvel,"6,109"
240,235,Mother Panic Gotham AD,4,$3.99,06/27/18,DC,"6,055"
241,236,Hack Slash Resurrection,8,$3.99,06/27/18,Image,"6,025"
242,219,Simpsons Comics,244,$3.99,06/20/18,Bongo,"6,006"
243,238,Eternity Girl,4,$3.99,06/13/18,DC,"5,908"
244,225,Transformers Lost Light,18,$3.99,06/13/18,IDW,"5,857"
245,239,Curse Words,15,$3.99,06/20/18,Image,"5,830"
246,228,Barbarella,7,$3.99,06/20/18,Dynamite,"5,702"
247,230,Dejah Thoris,5,$3.99,06/13/18,Dynamite,"5,664"
248,243,Blackwood,2,$3.99,06/27/18,Dark Horse,"5,624"
249,244,Cave Carson Has An Interstellar Eye,4,$3.99,06/20/18,DC,"5,602"
250,317,Venom,1,$4.99,05/09/18,Marvel,"5,551"
251,201,Zombie Tramp Ongoing,48,$4.99,06/27/18,Action Lab,"5,450"
252,607,Oblivion Song By Kirkman & De Felici,2,$3.99,04/11/18,Image,"5,368"
253,250,Port of Earth,6,$3.99,06/13/18,Image,"5,329"
254,567,Captain America Sam Wilson,7,$5.99,03/30/16,Marvel,"5,326"
255,252,Dead Hand,3,$3.99,06/13/18,Image,"5,237"
256,254,Rose,12,$3.99,06/13/18,Image,"5,171"
257,256,Fix,12,$3.99,06/13/18,Image,"5,156"
258,233,Taarna,2,$3.99,06/20/18,Heavy Metal,"5,076"
259,258,Justice League No Justice,4,$3.99,05/30/18,DC,"5,020"
260,245,Fathom Vol. 7,1,$3.99,06/20/18,Aspen,"5,014"
261,247,Quantum & Woody,7,$3.99,06/27/18,Valiant,"5,008"
262,237,Lost City Explorers,1,$3.99,06/20/18,Aftershock,"4,997"
263,261,Ether Copper Golems,2,$3.99,06/20/18,Dark Horse,"4,925"
264,251,James Bond The Body,6,$3.99,06/20/18,Dynamite,"4,857"
265,326,Jim Henson Fraggle Rock,2,$3.99,06/20/18,Boom,"4,715"
266,242,Dark Ark,7,$3.99,06/06/18,Aftershock,"4,702"
267,275,Deathbed,5,$3.99,06/20/18,DC,"4,685"
268,271,Man of Steel,1,$3.99,05/30/18,DC,"4,682"
269,280,Flavor,2,$3.99,06/20/18,Image,"4,604"
270,259,Legenderry Red Sonja,5,$3.99,06/27/18,Dynamite,"4,562"
271,248,Babyteeth,11,$3.99,06/13/18,Aftershock,"4,549"
